Отчет Суммы по организациям;;;;;;;;;;;;;;;;
Без заявок: Нет;;;;;;;;;;;;;;;;
№;Название;ИНН;Менеджер;Всего кол-во;Всего сумма;ПРОФ кол-во;ПРОФ сумма;ЛМК кол-во;ЛМК сумма;Справки кол-во;Справки сумма;Лечение кол-во;Лечение сумма;Себестоимость;Маржинальность;Маржинальность %
64;"ООО ""ВИСИЭС ГИДРО""";7806425957;Якубжанова Екатерина (3);15;33000;15;33000;;;;;;;0;33000; 100.00
65;"ООО ""ВКУСТРАНС""";5074055797;Якубжанова Екатерина (3);9;15500;3;6000;3;5000;3;4500;;;5520;9980; 64.39
66;"ООО ""ГАРАНТ ПРЕМИУМ""";7751182406;Якубжанова Екатерина (3);14;;7;;7;;;;;;8790;-8790;
67;"ООО ""ГЕМОТЕСТ-ЛАБ""";5029237040;Якубжанова Екатерина (3);7;16100;;;7;16100;;;;;12250;3850; 23.91
68;"ООО ""ГИППОРУБЕР""";7751522684;Якубжанова Екатерина (3);20;;10;;10;;;;;;20200;-20200;
69;"ООО ""ГК""";7743299249;Якубжанова Екатерина (3);1;2200;1;2200;;;;;;;0;2200; 100.00
70;"ООО ""ГК ГРУПП""";7733365809;Боташева (1);84;104650;32;48000;52;56650;;;;;38700;65950; 63.02
71;"ООО ""ГЛИЦИНИЯ""";9731062471;Боташева (1);44;117200;;;44;117200;;;;;97380;19820; 16.91
72;"ООО ""ГОЛЛИВУД-СТОМАТОЛОГИЯ""";7717155730;Якубжанова Екатерина (3);5;9300;2;;3;9300;;;;;5160;4140; 44.52
73;"ООО ""ГРАВИОН-КОНСТРАКШН""";7743130595;Боташева (1);1;1800;1;1800;;;;;;;0;1800; 100.00
74;"ООО ""ГРАНАТ ФУД""";5032322850;Боташева (1);10;28900;;;10;28900;;;;;21640;7260; 25.12
75;"ООО ""ГРЕЙС""";7729776860;Боташева (1);21;57200;;;21;57200;;;;;43700;13500; 23.60
76;"ООО ""ДАРА ДЕНТАЛ""";7736610921;Боташева (1);2;7000;;;2;7000;;;;;4170;2830; 40.43
77;"ООО ""ДЕКОРСТРОЙ""";7743891590;Якубжанова Екатерина (3);2;4400;2;4400;;;;;;;0;4400; 100.00
78;"ООО ""ДЕТСКАЯ ЗДРАВНИЦА ИМЕНИ ГАГАРИНА""";7705964350;Якубжанова Екатерина (3);3;5500;1;;1;4000;1;1500;;;2160;3340; 60.73
79;"ООО ""ДЖЕНГУРО""";5024203312;Якубжанова Екатерина (3);6;12400;2;4400;4;8000;;;;;6060;6340; 51.13
80;"ООО ""ДИДИИКС СБ""";7734438312;Якубжанова Екатерина (3);19;7000;7;7000;12;;;;;;24780;-17780;- 254.00
81;"ООО ""ДКТ""";9705149937;Якубжанова Екатерина (3);8;19000;;;8;19000;;;;;13700;5300; 27.89
82;"ООО ""ДОКТОР ЛИНЗ""";7701616802;Якубжанова Екатерина (3);7;13100;2;2000;5;11100;;;;;8010;5090; 38.85
83;"ООО ""ДОКТОР ЛИНЗ КОНСАЛТИНГ""";7718996327;Боташева (1);2;2800;;;2;2800;;;;;#Н/Д;#Н/Д;
84;"ООО ""ДОКТОР ЛИНЗ - М""";7718594346;Боташева (1);6;9580;2;3600;4;5980;;;;;7310;2270; 23.70
85;"ООО ""ДОКТОР ЛИНЗ ПЛЮС""";7718975253;Якубжанова Екатерина (3);3;5700;;;3;5700;;;;;4580;1120; 19.65
86;"ООО ""ЗДОРОВ.РУ""";7708825604;Якубжанова Екатерина (3);13;1500;6;1500;7;;;;;;8380;-6880;- 458.67
87;"ООО ""ЗЕНОН-МСК""";5036167115;Якубжанова Екатерина (3);2;4400;2;4400;;;;;;;0;4400; 100.00
88;"ООО ""ЗТИ-М""";5024160154;Якубжанова Екатерина (3);1;1800;1;1800;;;;;;;0;1800; 100.00
89;"ООО ""ИГТ-СЕРВИС""";7729497400;Якубжанова Екатерина (3);2;4400;2;4400;;;;;;;0;4400; 100.00
90;"ООО ""ИЛОН""";7734418612;Якубжанова Екатерина (3);16;11600;9;8000;4;;3;3600;;;7210;4390; 37.84
91;"ООО ""ИНДУСТРИЯ КРАСОТЫ""";9702024094;Боташева (1);3;2200;2;2200;1;;;;;;#Н/Д;#Н/Д;
92;"ООО ""ИННОВАЦИОННАЯ МЕДИЦИНА""";9706000111;Якубжанова Екатерина (3);43;105000;36;79200;7;25800;;;;;13300;91700; 87.33
93;"ООО ""ИНТЕРНЕТ РЕШЕНИЯ""";7704217370;Якубжанова Екатерина (3);188;612600;4;5600;165;584200;19;22800;;;#Н/Д;#Н/Д;
94;"ООО ""ИНФОЛЭНД""";7701629463;Якубжанова Екатерина (3);15;31400;11;24200;;;4;7200;;;0;31400; 100.00
95;"ООО ""ИРИАЛ""";7731142204;Боташева (1);2;3500;1;1000;1;2500;;;;;2160;1340; 38.29
96;"ООО ""КАПУЧИНО""";9728036094;Якубжанова Екатерина (3);8;28000;;;8;28000;;;;;18920;9080; 32.43
97;"ООО ""КЛИНИКА НА ЛЕНИНСКОМ""";7736683574;Якубжанова Екатерина (3);2;5800;;;2;5800;;;;;3110;2690; 46.38
98;"ООО ""КНГК""";9725079004;Якубжанова Екатерина (3);5;11000;5;11000;;;;;;;0;11000; 100.00
99;"ООО ""КНГК-ИНПЗ""";2308128110;Якубжанова Екатерина (3);10;22000;10;22000;;;;;;;#Н/Д;#Н/Д;
100;"ООО ""КОКУР""";5321181277;Боташева (1);40;59700;16;;24;59700;;;;;49890;9810; 16.43
101;"ООО ""КОЛЛЕКЦИЯ ПРИКЛЮЧЕНИЙ""";7730134747;Боташева (1);1;;;;;;;;1;;0;0;
102;"ООО ""КОМПАС""";3906143638;Якубжанова Екатерина (3);12;24000;;;;;;;12;24000;5400;18600; 77.50
103;"ООО ""КОМПЛЕКС""";5003066249;Боташева (1);292;445000;252;397000;;;40;48000;;;0;445000; 100.00
104;"ООО ""КОМПОЗИТ""";5027239243;Якубжанова Екатерина (3);1;;1;;;;;;;;0;0;
105;"ООО ""КРЕАТИВИКФОТО""";7728893289;Якубжанова Екатерина (3);40;85600;;;40;85600;;;;;74730;10870; 12.70
106;"ООО ""КРЕЙВ МОСКОУ""";9709013091;Якубжанова Екатерина (3);1;2200;1;2200;;;;;;;0;2200; 100.00
107;"ООО КРЦ ""СТУПЕНЬКИ""";7751141858;Якубжанова Екатерина (3);13;39000;13;39000;;;;;;;0;39000; 100.00
108;"ООО ""КУБИК""";5024215773;Якубжанова Екатерина (3);10;22000;10;22000;;;;;;;0;22000; 100.00
109;"ООО ""КУРЬЕР-РЕГИОН СТОЛИЦА""";7729745149;Боташева (1);1;2200;1;2200;;;;;;;0;2200; 100.00
110;"ООО ""ЛДВ ГРУПП""";5047252436;Якубжанова Екатерина (3);15;27200;15;27200;;;;;;;#Н/Д;#Н/Д;
111;"ООО ""ЛЕНТА""";7814148471;Корнилова (6);1;2000;;;1;2000;;;;;1000;1000; 50.00
112;"ООО ""ЛЕПТА КАПИТАЛ""";2308120632;Якубжанова Екатерина (3);1;2200;1;2200;;;;;;;0;2200; 100.00
113;"ООО ""ЛЕТО""";7734459658;Якубжанова Екатерина (3);9;18600;;;6;15000;3;3600;;;10260;8340; 44.84
